context_3,context_2,context_1,response
,,,.
,,,Рюкзак
,,Рюкзак,ШАЛОМ ВАЛЕЕЕРАААА🤜🤛🤝
,Рюкзак,ШАЛОМ ВАЛЕЕЕРАААА🤜🤛🤝,🤝🤝привет
,,,📓
,,,😼
,,😼,Парашют
,😼,Парашют,"Валера, братец, ты что меня заблочил?"
😼,Парашют,"Валера, братец, ты что меня заблочил?",Ты не бойся ты на первом месте в чс😂😂😂
,,,"Бросил ты меня, теперь одна работаю((("
,,"Бросил ты меня, теперь одна работаю(((","Ну почему же бросил, я тут 24/7"
,"Бросил ты меня, теперь одна работаю(((","Ну почему же бросил, я тут 24/7",Но ночью то спать будешь)
"Бросил ты меня, теперь одна работаю(((","Ну почему же бросил, я тут 24/7",Но ночью то спать будешь),Иногда
,,,👋☕️
,,,А кто целоваться отказывается??))
,,А кто целоваться отказывается??)),
,А кто целоваться отказывается??)),,"Хорошо, Окей."
А кто целоваться отказывается??)),,"Хорошо, Окей.",
,,,"""если музыка не приносит денег - это искусство...... Или говно"" 😁😁"
,,"""если музыка не приносит денег - это искусство...... Или говно"" 😁😁",😂😂😂
,,,С рюкзаком ближе
,,С рюкзаком ближе,Подтяжки
,С рюкзаком ближе,Подтяжки,Ну эт рюкзак ток по другому
С рюкзаком ближе,Подтяжки,Ну эт рюкзак ток по другому,Ранец
Подтяжки,Ну эт рюкзак ток по другому,Ранец,это портфель
,,,Ауф 😂
,,,Ты чё не спиш?
,,Ты чё не спиш?,С работы приехал только
,Ты чё не спиш?,С работы приехал только,понятно
,,,Смоленск 😁😁
,,Смоленск 😁😁,ну там наверное все такие🤣🤣🤣
,,,"Все. Ушла. Звать бесполезно ,сплю как бревно
Всем приятного общения"
,,"Все. Ушла. Звать бесполезно ,сплю как бревно
Всем приятного общения",Фига как отмазалась😂
,"Все. Ушла. Звать бесполезно ,сплю как бревно
Всем приятного общения",Фига как отмазалась😂,Теперь тебе отдуваться 😌
,,,Есть девушки желающие познакомиться с кавказским парнем?
,,Есть девушки желающие познакомиться с кавказским парнем?,"К сожалению нет. Я плавал, я знаю"
,,,А если поджечь? 🔥
,,А если поджечь? 🔥,Xxx
,А если поджечь? 🔥,Xxx,"Доброй ночи... Не включай звук, ща дрочилы налетят"
А если поджечь? 🔥,Xxx,"Доброй ночи... Не включай звук, ща дрочилы налетят",Спокойной ночи 😉
Xxx,"Доброй ночи... Не включай звук, ща дрочилы налетят",Спокойной ночи 😉,"А что именно считается рекламой? Где посмотреть?)
Спокойной ночи)))😘💋"
"Доброй ночи... Не включай звук, ща дрочилы налетят",Спокойной ночи 😉,"А что именно считается рекламой? Где посмотреть?)
Спокойной ночи)))😘💋",спокойной ночи тётя Лера
,,,I want to talk to someone from America
,,I want to talk to someone from America,
,I want to talk to someone from America,,
,,,Целоваться любишь?
,,Целоваться любишь?,
,,,Да )
,,Да ),Фото кадыка есть?
,Да ),Фото кадыка есть?,Какого именно?)
Да ),Фото кадыка есть?,Какого именно?),У тебя их несколько??
,,,Всех раскидал😂😂😂
,,Всех раскидал😂😂😂,ага🤣🤣🤣🤣
,Всех раскидал😂😂😂,ага🤣🤣🤣🤣,Чего злой то такой? 😂
Всех раскидал😂😂😂,ага🤣🤣🤣🤣,Чего злой то такой? 😂,Да они мёртвого зае..т
ага🤣🤣🤣🤣,Чего злой то такой? 😂,Да они мёртвого зае..т,Да они и личку шатают😂
Чего злой то такой? 😂,Да они мёртвого зае..т,Да они и личку шатают😂,"Я бы тоже шатнул, такой рыжей бестии"
Да они мёртвого зае..т,Да они и личку шатают😂,"Я бы тоже шатнул, такой рыжей бестии",Не зли Халка😂😂😂
Да они и личку шатают😂,"Я бы тоже шатнул, такой рыжей бестии",Не зли Халка😂😂😂,Думаешь справится с бетменом 😎🦇
,,,"Эээх, завтра работать 😒"
,,"Эээх, завтра работать 😒",👋😁
,"Эээх, завтра работать 😒",👋😁,Валера 🤝👋
,,,Доброй ночи тебе
,,,ШАЛОМ КОФЕЁК🤜🤛🤝
,,ШАЛОМ КОФЕЁК🤜🤛🤝,Здравствуй Геныч🤝
,ШАЛОМ КОФЕЁК🤜🤛🤝,Здравствуй Геныч🤝,наливай
ШАЛОМ КОФЕЁК🤜🤛🤝,Здравствуй Геныч🤝,наливай,
,,,How are you my friend
,,How are you my friend,
,,,"Работа, работа иди на Федота 😂"
,,,"Ладно, девочки и мальчики….
Пойду-ка я спать.
Всем спокойной ночи."
,,"Ладно, девочки и мальчики….
Пойду-ка я спать.
Всем спокойной ночи.",Приятных сноведений
,,,Доброй ночи
,,Доброй ночи,Спокойной 😘😍😊
,Доброй ночи,Спокойной 😘😍😊,пусть на русском пишет
Доброй ночи,Спокойной 😘😍😊,пусть на русском пишет,Спокойной ночки)
,,,Я хочу жениться на русской девушке
,,Я хочу жениться на русской девушке,бабки есть?
,,,"Пиши, договоримся"
,,Я хочу жениться на русской девушке,Нужны деньги на документы
,Я хочу жениться на русской девушке,Нужны деньги на документы,Сколько я плачу в долларах?
,,,Та ты красава иди нахуй
,,Та ты красава иди нахуй,
,,,"Обижают, да?"
,,"Обижают, да?","Да не, я удаляю😂"
